Country,Capital City,Latitude,Longitude,Population,Capital Type
Algeria,El Djazaïr  (Algiers),36.7525,3.0420,2693542,Capital
Angola,Luanda,-8.8368,13.2343,7774200,Capital
Benin,Cotonou,6.3654,2.4183,685458,Economic Capital
Botswana,Gaborone,-24.6545,25.9086,269338,Capital
Burkina Faso,Ouagadougou,12.3642,-1.5383,2531381,Capital
Burundi,Bujumbura,-3.3822,29.3644,898968,Capital
Cameroon,Yaoundé,3.8667,11.5167,3655656,Capital
Cabo Verde,Praia,14.9215,-23.5087,167504,Capital
Central African Republic,Bangui,4.3612,18.5550,850946,Capital
Chad,N'Djaména,12.1067,15.0444,1322679,Capital
Comoros,Moroni,-11.7022,43.2551,62351,Capital
Congo,Brazzaville,-4.2658,15.2832,2229693,Capital
Côte d'Ivoire,Abidjan,5.3453,-4.0268,4920776,Administrative Capital
Democratic Republic of the Congo,Kinshasa,-4.3276,15.3136,13171256,Capital
Djibouti,Djibouti,11.5877,43.1447,561564,Capital
Egypt,Al-Qahirah (Cairo),30.0392,31.2394,20076002,Capital
Equatorial Guinea,Malabo,3.7500,8.7833,296770,Capital
Eritrea,Asmara,15.3333,38.9333,895863,Capital
Ethiopia,Addis Ababa,9.0250,38.7469,4399674,Capital
Gabon,Libreville,0.3925,9.4537,813489,Capital
Gambia,Banjul,13.4531,-16.6794,437161,Capital
Ghana,Accra,5.5560,-0.1969,2439389,Capital
Guinea,Conakry,9.5716,-13.6476,1843121,Capital
Guinea-Bissau,Bissau,11.8636,-15.5977,558399,Capital
Kenya,Nairobi,-1.2833,36.8167,4385853,Capital
Lesotho,Maseru,-29.3167,27.4833,201851,Capital
Liberia,Monrovia,6.3005,-10.7969,1418300,Capital
Libya,Tarabulus (Tripoli),32.8752,13.1875,1157746,Capital
Madagascar,Antananarivo,-18.9137,47.5361,3058387,Capital
Malawi,Lilongwe,-13.9669,33.7873,1029639,Capital
Mali,Bamako,12.6500,-8.0000,2446749,Capital
Mauritania,Nouakchott,18.0858,-15.9785,1205414,Capital
Mauritius,Port Louis,-20.1619,57.4989,149365,Capital
Morocco,Rabat,34.0133,-6.8326,1846661,Capital
Mozambique,Maputo,-25.9653,32.5892,1101771,Capital
Namibia,Windhoek,-22.5594,17.0832,404280,Capital
Niger,Niamey,13.5137,2.1098,1213781,Capital
Nigeria,Abuja,9.0574,7.4898,2918518,Capital
Réunion,Saint-Denis,-20.8823,55.4504,147209,Capital
Rwanda,Kigali,-1.9474,30.0579,1057836,Capital
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,Capital
Senegal,Dakar,14.6937,-17.4441,2978419,Capital
Seychelles,Victoria,-4.6167,55.4500,28091,Capital
Sierra Leone,Freetown,8.4840,-13.2299,1135949,Capital
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2081624,Capital
South Africa,Cape Town,-33.9258,18.4232,4430367,Legislative Capital
South Sudan,Juba,4.8517,31.5825,368914,Capital
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5534079,Capital
Swaziland,Mbabane,-26.3167,31.1333,68010,Capital
Togo,Lomé,6.1375,1.2123,1745744,Capital
Tunisia,Tunis,36.8190,10.1658,2290777,Capital
Uganda,Kampala,0.3163,32.5822,2986352,Capital
United Republic of Tanzania,Dodoma,-6.1722,35.7395,261645,Capital
Western Sahara,El Aaiún,27.1532,-13.2014,232388,Capital
Zambia,Lusaka,-15.4134,28.2771,2523844,Capital
Zimbabwe,Harare,-17.8294,31.0539,1515016,Capital